Lifeexpectancy ,AdultMortality,infantdeaths,underfivedeaths 
36.3,682,23,58
39,533,29,48
41,519,30,48
41.5,57,30,47
42.3,496,30,47
43.1,588,51,84
43.3,48,30,47
43.5,599,48,80
43.8,614,44,72
44,67,46,75
44.3,464,30,46
44.3,723,27,42
44.5,715,26,41
44.5,675,5,6
44.6,613,43,70
44.6,611,43,70
44.6,717,28,43
44.8,73,25,40
44.8,666,5,7
45.1,615,40,65
45.3,45,29,45
45.3,686,25,39
45.3,593,7,10
45.3,654,5,6
45.4,7,28,45
45.5,69,41,66
45.5,648,5,7
45.6,58,17,25
45.6,54,17,25
45.7,512,17,26
45.7,51,17,26
45.9,511,17,26
46,66,39,62
46,665,24,39
46,49,16,25
46.2,441,29,44
46.3,56,17,26
46.4,64,39,62
46.4,622,5,7
46.6,67,29,46
46.8,495,17,26
47.1,587,38,61
47.1,433,28,42
47.6,44,41,74
47.6,477,17,25
47.7,473,65,93
47.8,467,65,94
47.8,586,5,7
47.8,592,5,6
47.9,461,67,95
47.9,578,36,59
48,473,64,92
48,513,30,48
48.1,43,43,76
48.1,424,27,40
48.1,463,23,32
48.2,472,64,91
48.2,632,30,46
48.3,426,34,57
48.4,43,44,77
48.5,414,45,80
48.5,45,44,78
48.5,559,37,59
48.6,46,45,79
48.6,438,33,54
48.6,453,17,25
48.7,466,63,90
48.9,38,31,50
48.9,418,26,38
49.2,446,17,24
49.3,554,34,55
49.3,543,5,7
49.4,452,62,89
49.4,394,46,80
49.6,394,46,80
49.6,381,30,49
49.7,411,25,35
49.8,443,16,24
49.9,443,61,87
49.9,451,16,23
50,525,36,58
50,587,30,45
50,42,13,18
51,338,49,93
51,348,48,92
51,426,60,84
51,413,22,30
51.1,355,69,105
51.1,344,48,78
51.2,31,60,108
51.2,341,49,80
51.2,364,46,80
51.3,385,25,40
51.4,394,62,100
51.4,383,29,45
51.5,41,61,99
51.5,417,60,84
51.5,34,52,84
51.5,337,51,83
51.5,491,36,56
51.5,387,24,39
51.5,333,14,20
51.6,47,60,97
51.6,332,49,92
51.6,334,50,82
51.6,365,46,79
51.7,348,67,101
51.7,419,60,83
51.8,412,60,95
51.8,367,46,79
51.9,336,52,84
51.9,383,28,44
51.9,387,24,38
51.9,39,14,20
52,299,59,106
52,415,59,82
52,382,30,48
52,48,29,46
52.1,425,74,108
52.1,412,59,94
52.2,335,52,84
52.2,366,46,78
52.3,412,59,81
52.4,335,66,98
52.4,323,49,91
52.4,336,52,83
52.4,527,29,44
52.5,328,37,60
52.5,336,36,58
52.5,383,28,43
52.5,397,15,21
52.5,32,5,9
52.6,362,46,78
52.6,487,32,51
52.6,378,24,38
52.6,424,9,14
52.7,419,9,14
52.8,296,58,103
52.8,47,58,80
52.8,35,5,8
52.9,337,35,56
52.9,462,35,54
52.9,416,9,14
53,439,16,23
53,38,5,8
53.1,336,51,82
53.1,329,51,82
53.1,356,46,77
53.1,381,27,43
53.2,45,72,104
53.2,417,9,14
53.3,394,58,91
53.3,313,48,89
53.3,397,57,79
53.3,338,34,55
53.4,397,26,42
53.4,369,24,37
53.5,38,5,8
53.6,29,57,101
53.6,395,57,89
53.6,377,27,42
53.7,497,55,83
53.8,498,55,84
53.9,37,5,8
54,47,69,98
54,437,60,85
54,485,55,82
54,496,54,82
54,334,33,53
54,47,23,33
54,329,12,17
54.1,412,70,108
54.1,441,32,50
54.1,361,24,36
54.1,48,9,13
54.2,382,56,87
54.2,318,51,81
54.3,288,57,98
54.3,47,66,94
54.3,32,47,86
54.3,321,51,80
54.3,369,27,42
54.4,36,5,8
54.5,277,54,110
54.5,486,51,79
54.6,345,14,22
54.6,339,14,22
54.7,327,32,51
54.7,355,15,22
54.7,351,15,22
54.8,48,64,90
54.8,373,54,85
54.8,355,24,36
54.9,459,54,79
54.9,464,28,42
54.9,355,15,22
55,34,60,110
55,282,56,96
55,312,50,80
55,355,45,74
55,359,27,41
55,357,15,22
55,32,5,7
55.2,276,53,106
55.3,388,68,104
55.3,46,62,87
55.3,293,46,83
55.3,37,53,82
55.3,473,50,75
55.3,42,31,46
55.3,37,24,38
55.3,35,23,35
55.3,316,12,16
55.3,394,8,13
55.4,355,27,41
55.4,279,25,40
55.5,278,55,94
55.5,281,25,40
55.6,371,51,79
55.6,317,31,49
55.6,283,25,40
55.6,297,5,7
55.7,45,31,49
55.7,345,15,22
55.8,285,25,40
55.9,369,50,76
55.9,344,14,22
56,358,72,110
56,272,52,102
56,276,55,93
56,344,48,93
56,429,52,76
56,347,26,40
56,371,13,19
56.1,288,45,80
56.1,285,25,39
56.2,338,23,34
56.2,344,14,22
56.4,364,48,73
56.4,36,31,48
56.4,345,26,40
56.5,273,54,91
56.5,449,46,70
56.5,285,25,39
56.6,429,26,39
56.6,343,26,39
56.7,375,61,84
56.7,366,47,71
56.7,394,29,42
56.7,336,14,22
56.7,32,11,15
56.8,356,66,100
56.8,271,54,90
56.8,33,30,47
56.8,284,25,39
56.8,33,23,34
56.9,283,44,77
56.9,368,8,12
57,37,46,80
57,352,46,75
57,415,31,50
57.1,263,51,99
57.1,283,25,39
57.2,27,53,88
57.2,38,43,65
57.3,275,53,86
57.3,397,51,73
57.3,357,45,68
57.3,297,29,46
57.3,332,26,39
57.4,39,42,64
57.4,368,30,47
57.4,321,22,33
57.4,323,14,21
57.5,279,43,74
57.5,25,27,50
57.6,355,60,81
57.6,31,42,63
57.6,377,27,40
57.6,278,25,39
57.6,328,22,34
57.7,274,27,36
57.8,272,52,85
57.8,291,29,44
57.9,339,64,95
57.9,283,44,68
57.9,38,41,63
57.9,251,26,49
57.9,286,10,14
58,348,47,77
58,428,43,62
58,526,33,52
58,383,29,46
58,363,30,45
58,386,25,41
58,399,25,36
58,312,22,33
58,437,15,22
58.1,287,80,110
58.1,275,42,71
58.1,29,28,43
58.1,299,27,41
58.1,278,14,20
58.1,329,8,11
58.1,345,7,10
58.2,252,50,95
58.2,266,52,84
58.2,366,29,44
58.2,354,8,11
58.3,34,41,62
58.3,365,26,38
58.3,34,14,21
58.4,252,25,47
58.4,288,28,42
58.4,259,25,39
58.5,273,25,33
58.5,343,7,10
58.6,284,71,109
58.6,281,77,106
58.6,271,41,68
58.6,33,22,32
58.6,35,20,28
58.6,281,10,14
58.7,276,42,65
58.7,254,25,39
58.7,32,18,24
58.7,271,13,19
58.8,279,74,102
58.8,284,27,41
58.8,343,7,10
58.9,283,71,108
58.9,296,41,62
58.9,413,43,58
58.9,35,19,27
58.9,294,14,21
58.9,335,11,14
59,27,40,66
59,251,25,44
59,284,26,40
59.1,317,62,91
59.1,251,25,39
59.1,297,22,32
59.1,331,11,14
59.1,342,7,10
59.2,275,71,97
59.2,296,59,96
59.2,48,43,56
59.2,349,29,43
59.2,371,23,34
59.2,277,10,13
59.3,271,41,63
59.3,268,39,63
59.3,251,25,39
59.3,273,23,29
59.3,33,19,26
59.3,265,13,18
59.3,327,11,14
59.4,277,70,106
59.4,241,50,93
59.4,288,41,62
59.4,287,14,20
59.4,338,8,11
59.4,34,7,9
59.5,272,69,93
59.5,251,25,39
59.6,278,69,104
59.6,288,21,31
59.6,295,20,30
59.6,321,11,14
59.7,278,68,102
59.7,247,24,42
59.7,252,25,39
59.7,285,13,20
59.7,272,9,13
59.7,336,7,9
59.8,259,12,17
59.9,268,66,89
59.9,271,64,86
59.9,28,41,61
59.9,26,38,61
59.9,268,40,60
59.9,287,13,20
59.9,314,11,15
60,339,73,109
60,249,25,39
60,23,7,11
61,26,66,99
61,288,17,25
61,246,11,16
61,229,7,12
61.1,251,46,63
61.1,314,28,41
61.1,28,17,23
61.1,295,11,14
61.1,258,9,11
61.2,278,60,86
61.2,263,40,58
61.2,219,8,12
61.3,236,23,38
61.4,254,65,97
61.4,223,49,88
61.4,263,36,54
61.4,29,11,14
61.4,217,8,12
61.4,259,8,11
61.4,311,6,9
61.5,38,68,97
61.5,25,45,61
61.5,253,19,24
61.5,24,11,15
61.6,257,39,56
61.6,288,11,14
61.7,215,8,12
61.8,251,64,95
61.8,22,49,87
61.8,33,27,40
61.8,266,17,23
61.8,286,10,14
61.9,249,43,58
61.9,254,38,55
61.9,261,35,51
62,248,63,94
62,347,42,52
62,285,10,13
62,266,9,12
62,214,8,12
62,228,7,12
62,298,7,10
62,329,6,9
62.1,243,73,100
62.1,263,59,84
62.1,253,37,54
62.1,23,22,36
62.1,259,16,22
62.1,234,11,15
62.1,298,6,9
62.2,247,42,56
62.2,284,10,13
62.2,212,8,12
62.3,291,66,93
62.3,259,34,49
62.3,259,15,20
62.3,259,15,20
62.4,249,37,52
62.4,281,10,13
62.5,239,72,98
62.5,243,62,92
62.5,238,46,62
62.5,251,16,21
62.5,29,8,12
62.6,258,58,81
62.6,245,40,53
62.6,243,15,20
62.6,228,10,14
62.7,241,61,91
62.7,253,14,19
62.7,278,10,13
62.7,28,8,12
62.8,235,71,96
62.8,254,33,47
62.8,225,22,34
62.8,26,16,23
62.8,32,7,9
62.9,255,56,79
62.9,328,42,52
62.9,234,18,22
62.9,275,10,12
62.9,285,7,10
62.9,286,6,8
63,232,49,90
63,294,61,89
63,275,41,61
63,242,39,51
63,328,29,42
63,268,21,26
63,226,8,12
63,26,8,12
63.1,238,40,54
63.1,245,14,19
63.1,223,10,14
63.1,25,8,12
63.2,231,69,93
63.2,235,61,89
63.2,23,43,58
63.3,248,32,45
63.3,238,14,19
63.3,229,7,8
63.3,248,6,8
63.4,249,54,75
63.4,24,38,49
63.4,231,7,8
63.5,228,66,90
63.5,232,60,88
63.5,219,21,33
63.5,24,14,18
63.5,238,6,8
63.6,218,10,13
63.6,37,7,9
63.6,274,6,8
63.7,198,14,17
63.7,273,7,10
63.7,245,6,8
63.8,229,59,86
63.8,238,37,47
63.8,241,31,43
63.8,247,14,20
63.8,224,7,9
63.9,224,64,87
63.9,234,14,18
63.9,292,9,10
63.9,274,7,10
64,267,38,58
64,194,13,16
64,252,12,16
64,37,11,15
64,213,9,13
64,224,8,12
64,221,7,9
64,266,6,8
64.1,225,58,85
64.1,235,36,46
64.1,216,17,21
64.1,241,6,8
64.2,22,61,83
64.2,275,7,10
64.3,22,38,50
64.3,235,30,42
64.3,212,21,32
64.3,193,12,15
64.4,233,35,45
64.4,28,9,12
64.4,284,8,10
64.4,282,8,9
64.4,294,7,8
64.4,261,5,8
64.5,217,58,78
64.5,23,13,17
64.5,293,6,8
64.5,235,6,8
64.6,234,35,45
64.6,322,20,22
64.6,239,13,18
64.6,294,8,9
64.7,218,35,47
64.7,236,36,46
64.7,23,29,40
64.7,249,31,38
64.7,267,7,10
64.7,287,8,9
64.7,276,8,9
64.7,255,5,7
64.8,313,20,24
64.9,26,20,31
64.9,321,19,21
64.9,23,9,12
65,263,62,83
65,242,23,40
65,37,22,26
65,29,17,24
65,327,18,20
65,24,16,20
65,295,8,9
65.1,225,29,39
65.1,38,21,25
65.1,226,12,16
65.2,211,52,69
65.2,233,12,17
65.2,182,11,14
65.3,199,8,11
65.3,288,8,9
65.4,29,49,65
65.4,228,37,47
65.4,226,36,46
65.4,28,33,44
65.4,192,18,25
65.4,228,7,8
65.5,22,28,38
65.5,194,10,12
65.6,27,47,61
65.6,199,16,18
65.6,217,7,8
65.6,22,7,8
65.6,215,6,8
65.7,224,37,47
65.7,222,12,16
65.7,23,12,16
65.7,194,8,11
65.8,211,7,8
65.9,25,44,58
65.9,227,31,38
65.9,177,11,13
65.9,183,10,12
66,271,41,60
66,21,31,41
66,196,20,28
66,223,8,12
66,217,7,8
66.1,195,15,17
66.1,227,11,15
66.1,181,10,12
66.2,22,42,55
66.2,219,11,15
66.3,215,6,7
66.4,21,40,52
66.4,192,19,27
66.4,178,10,12
66.5,213,30,37
66.6,199,39,50
66.6,194,29,38
66.6,177,16,21
66.6,192,14,16
66.6,16,9,11
66.6,258,8,9
66.7,188,19,26
66.7,174,10,12
66.8,219,69,90
66.8,221,68,89
66.8,221,68,89
66.8,29,31,37
66.8,216,11,14
67,325,71,103
67,261,66,101
67,223,65,84
67,189,27,35
67,336,22,32
67,19,13,15
67,261,9,12
67,322,6,9
67,278,5,6
67.1,189,30,36
67.1,186,27,32
67.2,217,67,87
67.2,21,30,37
67.2,183,25,30
67.3,218,66,86
67.3,219,63,82
67.3,192,24,28
67.3,282,16,19
67.3,171,10,12
67.4,185,28,34
67.4,186,12,14
67.4,211,10,13
67.4,267,5,6
67.5,216,62,80
67.5,217,60,78
67.5,183,25,32
67.5,278,16,18
67.5,151,8,10
67.5,257,6,8
67.5,277,5,6
67.6,185,23,27
67.6,167,14,18
67.6,256,6,7
67.6,256,6,6
67.7,221,17,21
67.7,253,6,7
67.7,273,5,6
67.7,267,5,6
67.8,183,24,29
67.8,184,22,26
67.8,183,11,13
67.8,146,7,9
67.8,236,7,8
67.8,235,7,8
67.8,154,7,8
67.9,218,58,74
67.9,199,32,39
67.9,184,22,25
68,219,59,76
68,218,57,72
68,252,48,66
68,178,23,30
68,282,18,28
68,183,21,24
68,299,11,14
68,27,10,12
68,314,7,11
68.1,217,56,71
68.1,219,55,69
68.1,165,12,15
68.1,166,10,12
68.2,261,15,18
68.3,183,20,23
68.3,179,11,12
68.4,214,54,68
68.4,172,22,27
68.4,211,16,20
68.4,256,15,17
68.4,165,11,14
68.4,154,6,8
68.4,162,6,7
68.5,211,52,66
68.5,183,19,22
68.5,165,10,13
68.5,165,10,12
68.5,166,9,12
68.5,224,7,7
68.6,177,63,78
68.6,178,59,72
68.6,16,27,32
68.6,164,9,12
68.7,177,61,75
68.7,174,10,12
68.7,22,9,12
68.7,161,9,11
68.8,171,65,82
68.8,184,18,21
68.8,164,10,12
68.9,182,32,38
68.9,167,20,25
69,227,49,89
69,176,57,70
69,267,40,59
69,265,37,56
69,371,43,54
69,155,26,30
69,221,8,12
69,157,8,10
69.1,185,17,19
69.1,197,6,10
69.1,214,6,7
69.2,165,17,21
69.2,184,16,18
69.2,28,14,18
69.2,154,6,7
69.2,231,5,6
69.3,167,32,38
69.3,162,19,24
69.3,21,16,20
69.3,163,10,11
69.3,198,9,11
69.3,214,7,8
69.4,174,56,68
69.4,24,15,19
69.4,184,15,17
69.4,242,14,17
69.4,153,8,10
69.5,175,55,66
69.5,17,32,39
69.5,15,25,29
69.5,28,5,6
69.6,158,18,22
69.6,21,15,18
69.6,237,14,16
69.6,162,10,11
69.7,171,55,65
69.7,24,14,17
69.7,161,10,11
69.7,28,7,8
69.8,172,54,65
69.8,194,8,11
69.8,149,7,9
69.8,212,5,6
69.9,174,54,64
69.9,146,24,28
69.9,22,5,5
70,173,54,64
70,144,30,37
70,229,14,16
71,133,22,25
71,192,8,10
71,174,6,8
71,146,6,8
71.1,194,18,21
71.1,193,11,14
71.1,13,5,6
71.2,138,38,46
71.2,142,31,37
71.2,194,17,20
71.2,188,7,9
71.3,145,21,25
71.3,189,11,13
71.3,171,6,8
71.4,176,95,109
71.4,128,21,25
71.4,145,20,24
71.4,154,18,24
71.4,167,18,21
71.4,192,16,19
71.4,189,11,13
71.4,189,7,8
71.5,165,17,21
71.5,175,5,6
71.6,135,35,43
71.6,145,20,23
71.6,189,14,16
71.6,169,6,7
71.6,125,5,6
71.7,146,20,23
71.7,189,15,18
71.7,187,10,13
71.7,163,7,8
71.8,172,88,100
71.8,139,28,33
71.8,123,21,24
71.8,163,17,20
71.9,186,10,12
71.9,166,6,7
71.9,123,5,6
72,17,81,93
72,165,54,64
72,132,33,39
72,142,30,37
72,139,27,32
72,142,23,27
72,176,7,9
72.1,152,15,19
72.1,174,6,7
72.2,139,26,30
72.2,151,14,18
72.2,165,5,7
72.2,121,5,6
72.3,116,20,23
72.3,14,19,23
72.3,178,7,8
72.4,129,30,36
72.4,138,25,29
72.4,142,17,22
72.4,15,16,19
72.4,172,10,12
72.5,177,13,15
72.5,168,11,13
72.5,169,10,12
72.5,163,5,6
72.5,119,5,6
72.6,144,16,20
72.6,136,10,12
72.6,11,10,12
72.7,163,75,85
72.7,135,24,28
72.7,135,10,11
72.7,166,6,8
72.7,118,5,6
72.7,16,5,6
72.8,126,28,34
72.8,11,20,23
72.8,148,16,19
72.8,148,13,16
72.8,17,10,12
72.8,163,9,11
72.8,135,9,11
72.8,161,5,6
72.9,136,19,22
72.9,15,10,11
72.9,164,6,8
73,161,70,79
73,15,35,43
73,225,13,15
73,168,13,15
73,134,9,11
73,13,9,11
73,22,7,8
73,142,6,8
73,14,6,7
73,141,6,6
73,16,5,6
73.1,144,15,18
73.1,147,15,17
73.1,167,10,12
73.1,12,9,11
73.1,11,9,10
73.1,16,6,7
73.2,124,26,31
73.2,168,9,10
73.2,131,9,10
73.2,99,9,10
73.3,159,65,73
73.3,122,23,27
73.3,14,19,22
73.3,165,12,14
73.3,161,10,11
73.3,98,9,10
73.3,161,6,8
73.4,158,61,68
73.4,139,33,43
73.4,132,20,23
73.4,165,9,10
73.4,158,9,10
73.4,97,8,10
73.4,157,6,7
73.5,121,25,29
73.5,144,14,17
73.5,146,14,16
73.5,162,11,13
73.5,127,9,10
73.6,157,57,64
73.6,138,32,41
73.6,99,19,22
73.6,15,13,15
73.6,15,12,15
73.6,163,9,11
73.6,158,9,11
73.6,166,9,10
73.6,157,8,10
73.6,157,6,8
73.6,154,6,7
73.7,16,11,12
73.7,14,10,12
73.7,161,9,10
73.7,158,9,10
73.7,123,8,10
73.7,94,8,9
73.7,127,7,9
73.7,149,5,5
73.8,154,54,61
73.8,137,30,39
73.8,129,20,23
73.8,14,10,13
73.8,159,9,10
73.8,158,9,10
73.8,122,8,9
73.8,121,8,9
73.8,124,7,9
73.9,118,23,27
73.9,97,18,21
73.9,138,11,14
73.9,158,10,12
73.9,158,9,10
73.9,92,8,9
73.9,152,6,7
73.9,146,5,5
74,168,55,64
74,143,44,54
74,148,32,39
74,137,30,37
74,14,30,37
74,133,11,15
74,138,12,13
74,189,8,10
74.1,152,51,57
74.1,16,22,26
74.1,126,20,23
74.1,96,18,21
74.1,137,12,14
74.1,138,12,13
74.1,137,11,13
74.1,155,10,11
74.1,157,9,10
74.1,9,8,9
74.2,136,29,36
74.2,116,21,25
74.2,134,12,15
74.2,144,12,14
74.2,151,8,9
74.3,95,17,20
74.3,143,11,13
74.3,154,9,11
74.3,89,8,9
74.4,136,29,36
74.4,123,20,23
74.4,145,11,13
74.4,151,8,10
74.4,148,8,9
74.4,144,8,9
74.4,88,7,9
74.5,148,49,54
74.5,114,20,23
74.5,133,9,12
74.5,153,9,10
74.5,88,7,8
74.6,136,28,35
74.6,144,11,12
74.6,152,8,10
74.6,139,7,9
74.7,146,46,52
74.7,136,28,35
74.7,93,22,25
74.7,119,21,24
74.7,13,11,12
74.7,14,7,9
74.8,129,55,66
74.8,144,44,49
74.8,112,19,22
74.8,143,10,12
74.8,129,10,12
74.9,135,28,35
74.9,116,21,24
74.9,127,11,12
74.9,129,9,11
74.9,148,8,9
75,126,52,62
75,127,49,58
75,127,46,55
75,142,42,47
75,154,29,35
75,134,29,35
75,192,13,16
75,222,13,15
75,134,7,8
75,24,5,5
75.1,113,21,24
75.1,85,21,24
75.1,137,7,8
75.2,133,29,35
75.2,19,17,20
75.2,127,11,12
75.3,126,42,49
75.3,112,21,24
75.3,83,20,23
75.3,125,8,11
75.3,125,8,10
75.3,131,7,8
75.4,124,44,52
75.4,131,29,36
75.4,11,21,24
75.4,83,19,22
75.4,126,10,11
75.5,83,18,21
75.5,17,16,19
75.5,121,10,11
75.5,123,8,10
75.5,127,7,8
75.6,127,37,43
75.6,127,35,40
75.6,13,29,36
75.6,19,21,24
75.6,126,10,11
75.7,13,36,42
75.7,129,28,35
75.7,12,9,10
75.8,125,40,47
75.8,16,15,18
75.9,128,28,35
75.9,12,9,10
76,123,38,45
76,147,32,39
76,145,32,39
76,127,28,35
76,198,12,15
76,119,8,10
76,121,6,8
76,139,6,7
76,121,6,7
76.1,124,34,39
76.2,118,8,9
76.2,118,6,7
76.3,123,33,38
76.3,116,8,9
76.6,12,32,37
76.6,122,31,36
76.7,122,30,35
76.8,114,28,33
76.9,115,28,33
77,144,32,39
77,115,28,33
77,137,22,26
77,196,12,14
77,186,8,10
77,25,5,5
77.2,114,28,33
77.5,112,28,33
77.5,111,28,33
77.8,113,28,33
78,161,53,62
78,14,41,50
78,146,33,40
78,132,6,6
78.1,11,27,32
78.2,18,27,31
78.5,18,26,31
78.7,15,25,30
78.7,16,25,29
78.8,16,24,28
78.9,16,23,27
79,159,54,63
79,159,51,60
79,19,13,15
79.1,14,23,27
79.3,13,23,26
